UP000006548	3702	27448 (prev:27481, diff:-33, %change:0)	14145 (prev:14144, diff:1, %change:0)	41769 (prev:41824, diff:-55, %change:0)	GCA_000001735.1 (GCA_000001735.1)	ENA/EMBL (ENA/EMBL)	Arabidopsis thaliana (Mouse-ear cress)	Atha
UP000001038	8090	23617 (prev:23617, diff:0, %change:0)	12521 (prev:12521, diff:0, %change:0)	36219 (prev:36219, diff:0, %change:0)	GCA_002234675.1 (GCA_002234675.1)	Ensembl (Ensembl)	Oryzias latipes (Japanese rice fish) (Japanese killifish)	Olat
UP000005640	9606	20594 (prev:20586, diff:8, %change:0)	84110 (prev:83865, diff:245, %change:0)	108290 (prev:108040, diff:250, %change:0)	GCA_000001405.28 (GCA_000001405.28)	Ensembl (Ensembl)	Homo sapiens (Human)	Hsap
UP000252983	29295	5207 (prev:5207, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	5208 (prev:5208, diff:0, %change:0)	GCA_003298465.1 (GCA_003298465.1)	ENA/EMBL (ENA/EMBL)	halophilic archaeon	archaea
UP000001015	273063	2805 (prev:2805, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2813 (prev:2813, diff:0, %change:0)	GCA_000011205.1 (GCA_000011205.1)	ENA/EMBL (ENA/EMBL)	Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii)	archaea
UP000001024	273075	1482 (prev:1482, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1483 (prev:1483, diff:0, %change:0)	GCA_000195915.1 (GCA_000195915.1)	ENA/EMBL (ENA/EMBL)	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	archaea
UP000000641	368408	1876 (prev:1876, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1876 (prev:1876, diff:0, %change:0)	GCA_000015225.1 (GCA_000015225.1)	ENA/EMBL (ENA/EMBL)	Thermofilum pendens (strain DSM 2475 / Hrk 5)	archaea
UP000001686	374847	1602 (prev:1602, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1602 (prev:1602, diff:0, %change:0)	GCA_000019605.1 (GCA_000019605.1)	ENA/EMBL (ENA/EMBL)	Korarchaeum cryptofilum (strain OPF8)	archaea
UP000006681	572478	2493 (prev:2493, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2493 (prev:2493, diff:0, %change:0)	GCA_000148385.1 (GCA_000148385.1)	ENA/EMBL (ENA/EMBL)	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	archaea
UP000001037	694429	1967 (prev:1967, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1967 (prev:1967, diff:0, %change:0)	GCA_000223395.1 (GCA_000223395.1)	ENA/EMBL (ENA/EMBL)	Pyrolobus fumarii (strain DSM 11204 / 1A)	archaea
UP000001400	439481	1539 (prev:1539, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2778 (prev:2778, diff:0, %change:0)	GCA_000025665.1 (GCA_000025665.1)	ENA/EMBL (ENA/EMBL)	Aciduliprofundum boonei (strain DSM 19572 / T469)	archaea
UP000009079	604354	2035 (prev:2035, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2036 (prev:2036, diff:0, %change:0)	GCA_000022545.1 (GCA_000022545.1)	ENA/EMBL (ENA/EMBL)	Thermococcus sibiricus (strain DSM 12597 / MM 739)	archaea
UP000009227	880724	1753 (prev:1753, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1772 (prev:1772, diff:0, %change:0)	GCA_000214415.1 (GCA_000214415.1)	ENA/EMBL (ENA/EMBL)	Methanotorris igneus (strain DSM 5666 / JCM 11834 / Kol 5)	archaea
UP000005233	1041930	2448 (prev:2448, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2455 (prev:2455, diff:0, %change:0)	GCA_000251105.1 (GCA_000251105.1)	ENA/EMBL (ENA/EMBL)	Methanocella conradii (strain DSM 24694 / JCM 17849 / CGMCC 1.5162 / HZ254)	archaea
UP000008037	1237085	3523 (prev:3523, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3565 (prev:3565, diff:0, %change:0)	GCA_000303155.1 (GCA_000303155.1)	ENA/EMBL (ENA/EMBL)	Nitrososphaera gargensis (strain Ga9.2)	archaea
UP000186940	1838285	1784 (prev:1784, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1787 (prev:1787, diff:0, %change:0)	GCA_001766815.1 (GCA_001766815.1)	ENA/EMBL (ENA/EMBL)	Candidatus Syntrophoarchaeum caldarius	archaea
UP000245022	2027460	1903 (prev:1903, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1904 (prev:1904, diff:0, %change:0)	GCA_003116855.1 (GCA_003116855.1)	ENA/EMBL (ENA/EMBL)	Desulfurococcaceae archaeon AG1	archaea
UP000236627	2035437	1916 (prev:1916, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1916 (prev:1916, diff:0, %change:0)	GCA_002898355.1 (GCA_002898355.1)	ENA/EMBL (ENA/EMBL)	archaeon HR01	archaea
UP000292580	2052832	2257 (prev:2257, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2258 (prev:2258, diff:0, %change:0)	GCA_004297185.1 (GCA_004297185.1)	ENA/EMBL (ENA/EMBL)	Methanofollis fontis	archaea
UP000609380	2250274	1220 (prev:1220, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1220 (prev:1220, diff:0, %change:0)	GCA_016932815.1 (GCA_016932815.1)	ENA/EMBL (ENA/EMBL)	Micrarchaeota archaeon	archaea
UP000273160	2053491	3244 (prev:3244, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3247 (prev:3247, diff:0, %change:0)	GCA_016933575.1 (GCA_016933575.1)	ENA/EMBL (ENA/EMBL)	Thorarchaeota archaeon (strain OWC)	archaea
UP000321408	2594042	3933 (prev:3933, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3944 (prev:3944, diff:0, %change:0)	GCA_008000775.1 (GCA_008000775.1)	ENA/EMBL (ENA/EMBL)	Candidatus Prometheoarchaeum syntrophicum	archaea
UP000646946	2756139	1101 (prev:1101, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1101 (prev:1101, diff:0, %change:0)	GCA_014189685.1 (GCA_014189685.1)	ENA/EMBL (ENA/EMBL)	Candidatus Naiadarchaeum limnaeum	archaea
UP000002586	156889	3594 (prev:3594, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3716 (prev:3716, diff:0, %change:0)	GCA_000014865.1 (GCA_000014865.1)	ENA/EMBL (ENA/EMBL)	Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1)	bacteria
UP000319449	345631	3944 (prev:3944, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3953 (prev:3953, diff:0, %change:0)	GCA_007830735.1 (GCA_007830735.1)	ENA/EMBL (ENA/EMBL)	Geobacter argillaceus	bacteria
UP000253314	273032	4392 (prev:4392, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	4395 (prev:4395, diff:0, %change:0)	GCA_003318295.1 (GCA_003318295.1)	ENA/EMBL (ENA/EMBL)	Bacillus taeanensis	bacteria
UP000002156	340099	2193 (prev:2193, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2243 (prev:2243, diff:0, %change:0)	GCA_000019085.1 (GCA_000019085.1)	ENA/EMBL (ENA/EMBL)	Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E) (Clostridium thermohydrosulfuricum)	bacteria
UP000007719	515635	1743 (prev:1743, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	1744 (prev:1744, diff:0, %change:0)	GCA_000021645.1 (GCA_000021645.1)	ENA/EMBL (ENA/EMBL)	Dictyoglomus turgidum (strain DSM 6724 / Z-1310)	bacteria
UP000252707	547122	3827 (prev:3827, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3828 (prev:3828, diff:0, %change:0)	GCA_003337735.1 (GCA_003337735.1)	ENA/EMBL (ENA/EMBL)	Thioalbus denitrificans	bacteria
UP000008457	697281	2858 (prev:2858, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2870 (prev:2870, diff:0, %change:0)	GCA_000213255.1 (GCA_000213255.1)	ENA/EMBL (ENA/EMBL)	Mahella australiensis (strain DSM 15567 / CIP 107919 / 50-1 BON)	bacteria
UP000001520	639282	2338 (prev:2338, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2374 (prev:2374, diff:0, %change:0)	GCA_000010985.1 (GCA_000010985.1)	ENA/EMBL (ENA/EMBL)	Deferribacter desulfuricans (strain DSM 14783 / JCM 11476 / NBRC 101012 / SSM1)	bacteria
UP000267250	1323375	3011 (prev:3011, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3035 (prev:3035, diff:0, %change:0)	GCA_003991135.1 (GCA_003991135.1)	ENA/EMBL (ENA/EMBL)	Anoxybacter fermentans	bacteria
UP000035268	1307763	2373 (prev:2373, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2420 (prev:2420, diff:0, %change:0)	GCA_001017655.1 (GCA_001017655.1)	ENA/EMBL (ENA/EMBL)	Kiritimatiella glycovorans	bacteria
UP000077574	1810840	2856 (prev:2856, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2870 (prev:2870, diff:0, %change:0)	GCA_001644975.1 (GCA_001644975.1)	ENA/EMBL (ENA/EMBL)	Piscirickettsiaceae bacterium NZ-RLO1	bacteria
UP000235589	1981510	2258 (prev:2258, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2263 (prev:2263, diff:0, %change:0)	GCA_002874775.1 (GCA_002874775.1)	ENA/EMBL (ENA/EMBL)	Monoglobus pectinilyticus	bacteria
UP000253869	2283433	5141 (prev:5141, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	5151 (prev:5151, diff:0, %change:0)	GCA_003346715.1 (GCA_003346715.1)	ENA/EMBL (ENA/EMBL)	Oceanispirochaeta sp. M1	bacteria
UP000236617	2035405	2687 (prev:2687, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	2687 (prev:2687, diff:0, %change:0)	GCA_002923315.1 (GCA_002923315.1)	ENA/EMBL (ENA/EMBL)	bacterium HR10	bacteria
UP000284605	2320859	5024 (prev:5024, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	5077 (prev:5077, diff:0, %change:0)	GCA_003590945.1 (GCA_003590945.1)	ENA/EMBL (ENA/EMBL)	Oleomonas cavernae	bacteria
UP000265614	2339232	3658 (prev:3658, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3658 (prev:3658, diff:0, %change:0)	GCA_003594885.1 (GCA_003594885.1)	ENA/EMBL (ENA/EMBL)	Vallicoccus soli	bacteria
UP000451738	2497630	3292 (prev:3292, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	3292 (prev:3292, diff:0, %change:0)	GCA_009377835.1 (GCA_009377835.1)	ENA/EMBL (ENA/EMBL)	Nitriliruptorales bacterium	bacteria
UP000317093	2527975	5710 (prev:5710, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	5766 (prev:5766, diff:0, %change:0)	GCA_007748055.1 (GCA_007748055.1)	ENA/EMBL (ENA/EMBL)	Planctomycetes bacterium Pan216	bacteria
UP000469391	2665153	4041 (prev:4041, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	4042 (prev:4042, diff:0, %change:0)	GCA_009649675.1 (GCA_009649675.1)	ENA/EMBL (ENA/EMBL)	Alphaproteobacteria bacterium HT1-32	bacteria
UP000480178	2704465	6909 (prev:6909, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	7114 (prev:7114, diff:0, %change:0)	GCA_010119975.1 (GCA_010119975.1)	ENA/EMBL (ENA/EMBL)	Rhodocytophaga rosea	bacteria
